Survey month,Real Business Class,Real Full Economy,Real Restricted Economy,Real Best Discount,
Jul 2003,100.0,100.0,100.0,100.0,
Aug 2003,98.9,100.1,99.1,102.4,
Sep 2003,103.7,100.1,99.9,118.4,
Oct 2003,103.2,99.7,99.1,103.5,
Nov 2003,103.4,99.3,97.1,97.9,
Dec 2003,103.2,100.3,97.1,114.9,
Jan 2004,102.1,99.2,98.3,96.5,
Feb 2004,102.1,99.2,98.0,96.4,
Mar 2004,102.1,99.3,98.0,117.9,
Apr 2004,102.2,94.6,97.5,89.5,
May 2004,102.0,98.8,103.2,85.6,
Jun 2004,101.5,100.1,102.8,94.6,
Jul 2004,102.8,99.9,102.2,74.4,
Aug 2004,102.8,100.2,102.4,84.0,
Sep 2004,107.2,103.0,103.9,93.0,
Oct 2004,106.4,103.1,103.8,74.5,
Nov 2004,106.7,103.8,104.8,86.5,
Dec 2004,106.7,103.6,104.8,96.0,
Jan 2005,106.3,103.0,106.7,80.9,
Feb 2005,106.2,103.2,105.9,82.2,
Mar 2005,106.1,103.3,108.4,88.0,
Apr 2005,106.5,103.6,107.8,83.3,
May 2005,107.9,104.9,94.4,84.0,
Jun 2005,108.8,107.4,94.7,94.3,
Jul 2005,106.9,106.4,94.1,68.0,
Aug 2005,107.8,103.8,93.6,88.0,
Sep 2005,108.6,105.0,94.7,102.4,
Oct 2005,100.7,104.5,94.1,87.3,
Nov 2005,95.9,104.8,94.3,92.0,
Dec 2005,95.6,104.8,94.3,108.5,
Jan 2006,95.8,103.8,93.4,76.5,
Feb 2006,97.8,107.2,93.0,87.1,
Mar 2006,97.5,107.2,93.8,99.1,
Apr 2006,96.0,105.7,92.0,89.0,
May 2006,95.8,105.5,91.9,77.0,
Jun 2006,101.6,109.6,93.7,97.5,
Jul 2006,99.5,108.1,93.0,91.7,
Aug 2006,99.8,108.4,92.9,91.8,
Sep 2006,100.4,107.7,92.9,99.7,
Oct 2006,100.5,107.6,91.1,94.1,
Nov 2006,103.3,111.0,94.0,92.8,
Dec 2006,103.3,110.6,93.8,111.7,
Jan 2007,103.4,110.9,96.1,85.5,
Feb 2007,102.7,109.8,95.8,87.1,
Mar 2007,102.7,109.9,95.8,95.8,
Apr 2007,101.5,108.5,95.0,75.5,
May 2007,101.3,108.3,95.9,81.8,
Jun 2007,104.2,110.0,95.9,93.1,
Jul 2007,103.7,109.2,95.5,94.6,
Aug 2007,107.5,109.6,95.9,90.3,
Sep 2007,107.5,109.6,103.8,105.4,
Oct 2007,106.3,108.6,104.7,96.3,
Nov 2007,102.3,108.6,97.2,84.6,
