Date,Arrivals,Departures,Exchange rate
Jan-84,78900,108300,0.9178
Feb-84,80500,110400,0.9429
Mar-84,82800,112500,0.935
Apr-84,85100,114200,0.9201
May-84,87000,115200,0.8992
Jun-84,87900,115700,0.8613
Jul-84,87600,116200,0.83
Aug-84,86400,117100,0.8488
Sep-84,85100,118600,0.833
Oct-84,84600,120500,0.8487
Nov-84,85200,122300,0.8596
Dec-84,86700,122700,0.8278
Jan-85,88700,123400,0.815
Feb-85,90500,124600,0.7138
Mar-85,91800,125900,0.7051
Apr-85,92200,127200,0.6523
May-85,91900,128100,0.658
Jun-85,91400,128200,0.6655
Jul-85,91700,127500,0.7271
Aug-85,93100,126300,0.7034
Sep-85,95400,125000,0.7077
Oct-85,98300,123700,0.7002
Nov-85,101300,122600,0.685
Dec-85,104600,121900,0.6809
Jan-86,107800,121500,0.7155
Feb-86,110800,121700,0.7012
Mar-86,113200,123100,0.7119
Apr-86,114600,125300,0.7391
May-86,114700,128000,0.7166
Jun-86,114200,130300,0.6772
Jul-86,114000,131900,0.598
Aug-86,115300,132500,0.6085
Sep-86,119000,132100,0.6274
Oct-86,124700,130900,0.642
Nov-86,130900,129500,0.6488
Dec-86,136100,128600,0.6648
Jan-87,139900,128300,0.6608
Feb-87,141700,128900,0.6748
Mar-87,142100,129800,0.7053
Apr-87,142200,131400,0.7048
May-87,142700,133900,0.7137
Jun-87,144000,136700,0.7203
Jul-87,146100,139000,0.6978
Aug-87,148800,140300,0.7124
Sep-87,151800,140100,0.7194
Oct-87,155100,138800,0.6757
Nov-87,158300,136600,0.7052
Dec-87,161500,134400,0.7225
Jan-88,164900,133000,0.7138
Feb-88,168900,132800,0.7198
Mar-88,174000,133500,0.7388
Apr-88,180300,134700,0.7585
May-88,189500,135700,0.8051
Jun-88,197000,136900,0.794
Jul-88,202000,138400,0.8045
Aug-88,203900,140400,0.8069
Sep-88,202400,143000,0.7829
Oct-88,197900,146600,0.8256
Nov-88,186800,150900,0.8781
Dec-88,181600,154900,0.8555
Jan-89,177500,158100,0.889
Feb-89,174900,160100,0.7996
Mar-89,173500,160900,0.8194
Apr-89,172900,161100,0.7928
May-89,172600,161500,0.7484
Jun-89,172300,161400,0.7553
Jul-89,171900,162800,0.7524
Aug-89,171200,164800,0.7656
Sep-89,170700,167300,0.7764
Oct-89,170800,169800,0.7831
Nov-89,172000,172300,0.7815
Dec-89,174200,174900,0.7927
Jan-90,177400,177200,0.7708
Feb-90,180700,178700,0.7594
Mar-90,183900,179600,0.7542
Apr-90,186200,180100,0.7509
May-90,187600,180200,0.7691
Jun-90,187900,180200,0.789
Jul-90,187200,180300,0.7901
Aug-90,186200,180000,0.8162
Sep-90,185400,179200,0.8265
Oct-90,184600,178300,0.7847
Nov-90,183600,177300,0.7745
Dec-90,182400,175900,0.7733
Jan-91,181500,172000,0.7849
Feb-91,181900,171400,0.7851
Mar-91,183900,171500,0.7752
Apr-91,188000,171700,0.7817
May-91,194000,171800,0.7609
Jun-91,200800,172500,0.7681
Jul-91,206800,174000,0.7775
Aug-91,210200,176300,0.7848
Sep-91,210700,179300,0.7995
Oct-91,209300,182000,0.7837
Nov-91,207200,183800,0.7848
Dec-91,205500,184600,0.7598
Jan-92,205100,184300,0.7498
Feb-92,206300,183800,0.7546
Mar-92,208800,183600,0.7684
Apr-92,211400,184600,0.7593
May-92,212900,186600,0.7589
Jun-92,213600,188200,0.7488
Jul-92,214200,189500,0.7442
Aug-92,215600,190800,0.7134
Sep-92,218400,192000,0.714
Oct-92,222500,192500,0.6954
Nov-92,227100,192100,0.6823
Dec-92,231700,190600,0.688
Jan-93,236200,188900,0.6786
Feb-93,239900,187700,0.6957
Mar-93,242900,187000,0.7058
Apr-93,245100,187400,0.7116
May-93,246600,188300,0.6769
Jun-93,247900,189500,0.6722
Jul-93,249500,190200,0.6834
Aug-93,251600,190100,0.6708
Sep-93,254000,189600,0.6453
Oct-93,256700,189400,0.6661
Nov-93,260000,189900,0.6586
Dec-93,263600,190700,0.6711
Jan-94,266700,191600,0.7112
Feb-94,269300,192500,0.7178
Mar-94,271400,193300,0.7008
Apr-94,272900,194000,0.7124
May-94,274600,194700,0.7361
Jun-94,276700,195200,0.7291
Jul-94,279500,195500,0.7393
Aug-94,283500,196000,0.7425
Sep-94,288300,196900,0.7393
Oct-94,292200,197800,0.7422
Nov-94,294600,198800,0.7674
Dec-94,295800,200600,0.7768
Jan-95,296500,202800,0.7583
Feb-95,297500,204900,0.7395
Mar-95,299500,206700,0.728
Apr-95,302600,208200,0.7299
May-95,306100,208900,0.7138
Jun-95,309400,209200,0.7086
Jul-95,312100,209400,0.7389
Aug-95,314100,209900,0.7524
Sep-95,315300,210500,0.755
Oct-95,316900,211700,0.7566
Nov-95,320300,213800,0.7469
Dec-95,325400,216000,0.745
Jan-96,331300,218200,0.7447
Feb-96,337000,220300,0.7635
Mar-96,341400,222000,0.7793
Apr-96,344300,223300,0.7854
May-96,345700,224300,0.7983
Jun-96,346100,225300,0.789
Jul-96,346200,226500,0.7731
Aug-96,346400,228000,0.7909
Sep-96,347300,229900,0.7924
Oct-96,349100,232100,0.7919
Nov-96,351300,233900,0.8107
Dec-96,353900,235400,0.7965
Jan-97,356600,236900,0.762
Feb-97,358500,238200,0.7758
Mar-97,359500,239200,0.7865
Apr-97,359800,240000,0.7811
May-97,360500,241000,0.7613
Jun-97,361900,242600,0.7455
Jul-97,363500,244500,0.7452
Aug-97,364700,246100,0.7344
Sep-97,364700,247500,0.7198
Oct-97,361900,248100,0.7036
Nov-97,356500,248600,0.6803
Dec-97,350200,250100,0.6527
Jan-98,344700,252400,0.6693
Feb-98,341700,255600,0.6745
Mar-98,341500,259200,0.6634
Apr-98,343900,261900,0.6499
May-98,347200,262800,0.6236
Jun-98,350000,262800,0.6135
Jul-98,351300,263100,0.6113
Aug-98,350900,264200,0.5691
Sep-98,349800,266300,0.5945
Oct-98,349700,269000,0.6263
Nov-98,351400,271400,0.6323
Dec-98,354100,272000,0.6139
Jan-99,357200,270600,0.6286
Feb-99,359900,267900,0.6225
Mar-99,361600,265300,0.6293
Apr-99,363200,264200,0.6598
May-99,365500,265100,0.6491
Jun-99,369500,267700,0.6596
Jul-99,375300,270900,0.652
Aug-99,381000,273800,0.6379
Sep-99,384300,275500,0.6536
Oct-99,384200,275200,0.6446
Nov-99,382300,274400,0.6376
Dec-99,381500,274700,0.6538
Jan-00,383600,276600,0.6382
Feb-00,389100,279600,0.6143
Mar-00,396900,282600,0.6055
Apr-00,403700,285100,0.5909
May-00,406900,287000,0.5735
Jun-00,406000,289000,0.5986
Jul-00,404300,291200,0.5822
Aug-00,404100,294500,0.5748
Sep-00,406900,298400,0.5433
Oct-00,411500,302100,0.5148
Nov-00,416600,304500,0.5227
Dec-00,420000,304700,0.554
1-Jan,421200,303700,0.5466
1-Feb,420300,302100,0.525
1-Mar,418800,300900,0.489
1-Apr,418500,300200,0.5088
1-May,419800,300200,0.51
1-Jun,420300,299900,0.5075
1-Jul,417700,294200,0.5041
1-Aug,411700,289900,0.5342
1-Sep,403700,284200,0.4923
1-Oct,396000,278900,0.5053
1-Nov,390500,275400,0.52
1-Dec,389100,274600,0.5106
2-Jan,392000,276100,0.5078
2-Feb,397000,279500,0.5164
2-Mar,401600,283800,0.5316
2-Apr,403600,287500,0.5397
2-May,403200,290200,0.5674
2-Jun,402300,291700,0.5648
2-Jul,402400,292600,0.5478
2-Aug,403400,292900,0.5532
2-Sep,405300,293000,0.5435
